Stepper Vol1, Sweep Vol2, Sweep Curr2
1.200451,0.000014,-0.000061
1.200451,0.092323,-0.000048
1.200451,0.185043,-0.000084
1.200451,0.277563,-0.000038
1.200451,0.370312,-0.000035
1.200451,0.462506,-0.000042
1.200451,0.555486,-0.00002
1.200451,0.647998,-0.000036
1.200451,0.740341,-0.000035
1.200451,0.833223,-0.000022
1.200451,0.925451,-0.00006
1.200451,1.018199,-0.000068
1.200451,1.11085,-0.000053
1.200451,1.20362,-0.000058
1.200451,1.296053,-0.000033
1.200451,1.388686,-0.000035
1.200451,1.481257,-0.000038
1.200451,1.573835,-0.000046
1.200451,1.666558,-0.000053
1.200451,1.758771,-0.000049
1.200451,1.851834,-0.000058
1.200451,1.944209,-0.00004
1.200451,2.036704,-0.000041
1.200451,2.129527,-0.000054
1.200451,2.221843,-0.000054
1.200451,2.314589,-0.000048
1.200451,2.407149,-0.000046
1.200451,2.499952,-0.000049
1.200451,2.592251,-0.000048
1.200451,2.68508,-0.000054
1.200451,2.77754,-0.000061
1.200451,2.869917,-0.000053
1.200451,2.962892,-0.000044
1.200451,3.055098,-0.000053
1.200451,3.148161,-0.000061
1.200451,3.240462,-0.00007
1.200451,3.333087,-0.000063
1.200451,3.42577,-0.000059
1.200451,3.518255,-0.00007
1.200451,3.61084,-0.000083
1.200451,3.70343,-0.000061
1.200451,3.796267,-0.00006
1.200451,3.888514,-0.000068
1.200451,3.981384,-0.000056
1.200451,4.073682,-0.000058
1.200451,4.166177,-0.000059
1.200451,4.259121,-0.000059
1.200451,4.351323,-0.000063
1.200451,4.444394,-0.000067
1.200451,4.5366,-0.000063
1.200451,4.62926,-0.000059
1.200451,4.721879,-0.00007
1.200451,4.814361,-0.000081
1.200451,4.906953,-0.000091
1.200451,4.999526,-0.000081
1.300022,0.000005,-0.000086
1.300022,0.092333,-0.000019
1.300022,0.185053,0.000018
1.300022,0.277563,0.000022
1.300022,0.370307,0.000019
1.300022,0.462511,0.000028
1.300022,0.555491,0.00001
1.300022,0.647999,0.000028
1.300022,0.740341,0.00003
1.300022,0.833232,0.000037
1.300022,0.925458,0.000029
1.300022,1.018216,0.000036
1.300022,1.110864,0.000028
1.300022,1.203626,0.000033
1.300022,1.296056,0.000058
1.300022,1.388692,0.00004
1.300022,1.481249,0.000023
1.300022,1.573834,0.000017
1.300022,1.666569,0.000036
1.300022,1.758774,0.000038
1.300022,1.851837,0.000035
1.300022,1.944206,0.000013
1.300022,2.036694,0.000012
1.300022,2.129523,0.000023
1.300022,2.221843,0.000019
1.300022,2.314579,0.000033
1.300022,2.407145,0.000025
1.300022,2.499931,0.00003
1.300022,2.592248,0.000015
1.300022,2.685071,0.000028
1.300022,2.777521,0.000033
1.300022,2.86989,0.000015
1.300022,2.962878,0.000026
1.300022,3.055096,0.00001
1.300022,3.148153,0.000012
1.300022,3.240459,0.000011
1.300022,3.333089,0.000022
1.300022,3.425776,0.000026
1.300022,3.518258,0.000005
1.300022,3.610842,-0.000001
1.300022,3.70343,0.000006
1.300022,3.796267,0.000012
1.300022,3.888504,0.000011
1.300022,3.981387,0.00001
1.300022,4.073677,0
1.300022,4.166178,-0.000006
1.300022,4.25912,0.000015
1.300022,4.351321,0.000005
1.300022,4.444394,0.000036
1.300022,4.536602,0.00002
1.300022,4.629241,0.000037
1.300022,4.721866,0.000029
1.300022,4.814347,-0.000004
1.300022,4.906944,-0.000002
1.300022,4.999512,0.000013
1.400267,0.000019,-0.000102
1.400267,0.092348,-0.000039
1.400267,0.185061,0.000033
1.400267,0.277573,0.000106
1.400267,0.370323,0.000189
1.400267,0.462523,0.000257
1.400267,0.555488,0.000326
1.400267,0.648,0.00038
1.400267,0.740342,0.000344
1.400267,0.833227,0.000368
1.400267,0.925457,0.000355
1.400267,1.018207,0.000374
1.400267,1.110848,0.000367
1.400267,1.20363,0.000367
1.400267,1.29603,0.000377
1.400267,1.388668,0.000394
1.400267,1.481237,0.000397
1.400267,1.573834,0.000376
1.400267,1.666562,0.000385
1.400267,1.758764,0.000389
1.400267,1.851832,0.0004
1.400267,1.944199,0.000388
1.400267,2.036687,0.000377
1.400267,2.129513,0.000396
1.400267,2.221839,0.000392
1.400267,2.314573,0.000403
1.400267,2.407141,0.000385
1.400267,2.499933,0.000406
1.400267,2.592246,0.000418
1.400267,2.685067,0.000396
1.400267,2.77752,0.000412
1.400267,2.869886,0.000403
1.400267,2.962884,0.000411
1.400267,3.055099,0.000413
1.400267,3.14815,0.000429
1.400267,3.240457,0.000419
1.400267,3.333079,0.000435
1.400267,3.425769,0.000426
1.400267,3.518255,0.000421
1.400267,3.61083,0.000435
1.400267,3.703419,0.000411
1.400267,3.796257,0.000438
1.400267,3.888504,0.000415
1.400267,3.981374,0.000414
1.400267,4.073658,0.000411
1.400267,4.166183,0.000425
1.400267,4.259102,0.000425
1.400267,4.351322,0.000429
1.400267,4.444382,0.000395
1.400267,4.53659,0.000412
1.400267,4.629241,0.00041
1.400267,4.721872,0.00041
1.400267,4.814347,0.000403
1.400267,4.90695,0.000397
1.400267,4.999505,0.00041
1.500288,0.000017,-0.000095
1.500288,0.09233,-0.000022
1.500288,0.185047,0.000086
1.500288,0.277561,0.000164
1.500288,0.370298,0.000271
1.500288,0.462505,0.000325
1.500288,0.555479,0.000437
1.500288,0.647989,0.000518
1.500288,0.740344,0.000609
1.500288,0.833218,0.000691
1.500288,0.92545,0.00079
1.500288,1.018202,0.000862
1.500288,1.110842,0.000954
1.500288,1.203616,0.001027
1.500288,1.296028,0.00108
1.500288,1.388667,0.001199
1.500288,1.481239,0.001277
1.500288,1.573822,0.001357
1.500288,1.666571,0.001434
1.500288,1.758774,0.001508
1.500288,1.851829,0.001555
1.500288,1.944206,0.001603
1.500288,2.036694,0.00162
1.500288,2.129524,0.001644
1.500288,2.221837,0.001638
1.500288,2.314573,0.001662
1.500288,2.40714,0.00167
1.500288,2.499932,0.001656
1.500288,2.592237,0.00168
1.500288,2.685082,0.001669
1.500288,2.777519,0.001674
1.500288,2.869884,0.001673
1.500288,2.962879,0.001698
1.500288,3.055087,0.001656
1.500288,3.148149,0.001674
1.500288,3.240442,0.00165
1.500288,3.333073,0.001681
1.500288,3.425769,0.001667
1.500288,3.518245,0.00168
1.500288,3.610838,0.001701
1.500288,3.70343,0.00169
1.500288,3.796242,0.001697
1.500288,3.888497,0.001709
1.500288,3.981382,0.001718
1.500288,4.073664,0.001716
1.500288,4.166174,0.001718
1.500288,4.259115,0.0017
1.500288,4.351324,0.001681
1.500288,4.444394,0.001726
1.500288,4.536607,0.001708
1.500288,4.62925,0.001715
1.500288,4.721864,0.001724
1.500288,4.814356,0.00173
1.500288,4.906951,0.001724
1.500288,4.999516,0.001722
1.600011,0.00001,-0.000081
1.600011,0.092328,0.000006
1.600011,0.185056,0.000087
1.600011,0.277565,0.000188
1.600011,0.370305,0.000276
1.600011,0.462519,0.00036
1.600011,0.555489,0.000464
1.600011,0.648004,0.000545
1.600011,0.740356,0.000628
1.600011,0.833226,0.000717
1.600011,0.92545,0.000788
1.600011,1.018211,0.000903
1.600011,1.110856,0.000986
1.600011,1.203627,0.001077
1.600011,1.296051,0.001172
1.600011,1.388686,0.001263
1.600011,1.481246,0.001331
1.600011,1.573834,0.001443
1.600011,1.666558,0.001517
1.600011,1.758781,0.001603
1.600011,1.851828,0.001697
1.600011,1.944203,0.001802
1.600011,2.036708,0.001894
1.600011,2.12952,0.00196
1.600011,2.221838,0.002058
1.600011,2.314588,0.002124
1.600011,2.407139,0.002209
1.600011,2.499934,0.002334
1.600011,2.592242,0.002397
1.600011,2.685077,0.002467
1.600011,2.777522,0.002558
1.600011,2.869891,0.002632
1.600011,2.962884,0.002724
1.600011,3.055099,0.002796
1.600011,3.148163,0.002888
1.600011,3.240458,0.002964
1.600011,3.333083,0.003059
1.600011,3.425773,0.003172
1.600011,3.518261,0.00327
1.600011,3.610829,0.003352
1.600011,3.703419,0.003436
1.600011,3.796253,0.003526
1.600011,3.888505,0.003603
1.600011,3.98138,0.003682
1.600011,4.073665,0.003763
1.600011,4.166172,0.003884
1.600011,4.259119,0.003951
1.600011,4.351326,0.004007
1.600011,4.444402,0.004112
1.600011,4.536612,0.004196
1.600011,4.629255,0.004269
1.600011,4.721884,0.004333
1.600011,4.814361,0.004422
1.600011,4.906949,0.004491
1.600011,4.99953,0.004586
